"filename", "language", "TypeScript JSX", "CSS", "SCSS", "TypeScript", "comment", "blank", "total"
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Job/UpdateJobPage.tsx", "TypeScript JSX", 352, 0, 0, 0, 1, 33, 386
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Login/LoginForm.scss", "SCSS", 0, 0, 61, 0, 0, 12, 73
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Login/LoginForm.tsx", "TypeScript JSX", 123, 0, 0, 0, 43, 17, 183
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/SignUp/SignUpForm.scss", "SCSS", 0, 0, 52, 0, 0, 2, 54
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/SignUp/SignUpForm.tsx", "TypeScript JSX", 126, 0, 0, 0, 18, 12, 156
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/react-app-env.d.ts", "TypeScript", 0, 0, 0, 3, 1, 1, 5
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/redux/company/CompanyAction.ts", "TypeScript", 0, 0, 0, 17, 0, 4, 21
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/redux/company/CompanyReducer.ts", "TypeScript", 0, 0, 0, 24, 0, 5, 29
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/redux/employee/EmployeeAction.ts", "TypeScript", 0, 0, 0, 17, 0, 4, 21
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/redux/employee/EmployeeReducer.ts", "TypeScript", 0, 0, 0, 24, 0, 5, 29
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/redux/job/JobAction.ts", "TypeScript", 0, 0, 0, 17, 0, 4, 21
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/redux/job/JobReducer.ts", "TypeScript", 0, 0, 0, 24, 0, 5, 29
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/redux/reduxStore.ts", "TypeScript", 0, 0, 0, 26, 0, 5, 31
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/redux/user/UserAction.ts", "TypeScript", 0, 0, 0, 14, 0, 4, 18
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/redux/user/UserReducer.ts", "TypeScript", 0, 0, 0, 27, 0, 5, 32
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/shared/data.ts", "TypeScript", 0, 0, 0, 79, 0, 3, 82
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/shared/notify.ts", "TypeScript", 0, 0, 0, 6, 0, 2, 8
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/types/ApiResponse.ts", "TypeScript", 0, 0, 0, 5, 0, 2, 7
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/types/application.ts", "TypeScript", 0, 0, 0, 22, 0, 2, 24
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/types/auth.ts", "TypeScript", 0, 0, 0, 10, 0, 3, 13
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/types/company.ts", "TypeScript", 0, 0, 0, 13, 0, 1, 14
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/types/employee.ts", "TypeScript", 0, 0, 0, 40, 0, 3, 43
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/types/form.ts", "TypeScript", 0, 0, 0, 41, 0, 2, 43
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/types/job.ts", "TypeScript", 0, 0, 0, 20, 0, 3, 23
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/types/pagination.ts", "TypeScript", 0, 0, 0, 7, 0, 1, 8
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/types/resume.ts", "TypeScript", 0, 0, 0, 14, 0, 3, 17
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/types/user.ts", "TypeScript", 0, 0, 0, 14, 0, 2, 16
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/util/convertHtmlElementToPdfFile.ts", "TypeScript", 0, 0, 0, 20, 0, 3, 23
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/util/convertMMtoPixel.ts", "TypeScript", 0, 0, 0, 3, 0, 1, 4
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/util/convertPixelToMM.ts", "TypeScript", 0, 0, 0, 3, 0, 1, 4
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/util/convertUSD.ts", "TypeScript", 0, 0, 0, 9, 0, 3, 12
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/util/formatDateToMMYYYY.ts", "TypeScript", 0, 0, 0, 6, 0, 1, 7
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/util/validateImageFile.ts", "TypeScript", 0, 0, 0, 5, 0, 3, 8
"Total", "-", 7126, 44, 407, 1612, 272, 858, 10319
